trial_id,word,selected_answer,participant_name
0,well,Modified vocable: well_1   POS: adverb,Brad
1,nail,Modified vocable: nail_2   POS: noun,Brad
2,flat,Modified vocable: flat_2   POS: adjective,Brad
3,bill,Modified vocable: bill_3   POS: noun,Brad
4,ground,Modified vocable: ground_1   POS: noun,Brad
5,kind,Modified vocable: kind_5   POS: adjective,Brad
6,sole,Modified vocable: sole_3   POS: noun,Brad
7,patient,Modified vocable: patient_2   POS: adjective,Brad
8,tear,Modified vocable: tear_3   POS: noun,Brad
9,toast,Modified vocable: toast_5   POS: verb,Brad
10,train,Modified vocable: train_3   POS: noun,Brad
11,volume,Modified vocable: volume_6   POS: noun,Brad
12,pen,Modified vocable: pen_1   POS: noun,Brad
13,star,Modified vocable: star_1   POS: noun,Brad
14,suit,Modified vocable: suit_3   POS: noun,Brad
15,bat,Modified vocable: bat_2   POS: noun,Brad
16,box,Modified vocable: box_1   POS: noun,Brad
17,firm,Modified vocable: firm_2   POS: adjective,Brad
18,cast,Modified vocable: cast_7   POS: verb,Brad
19,ship,Modified vocable: ship_1   POS: noun,Brad
20,monitor,Modified vocable: monitor_1   POS: noun,Brad
21,yard,Modified vocable: yard_4   POS: noun,Brad
22,jam,Modified vocable: jam_7   POS: noun,Brad
23,miss,Modified vocable: miss_1   POS: verb,Brad
24,fine,Modified vocable: fine_6   POS: adjective,Brad
