trial_id,word,selected_answer,participant_name
0,well,Modified word: well_7   POS: adverb,Kfortin
1,nail,Modified word: nail_1   POS: noun,Kfortin
2,flat,Modified word: flat_6   POS: adjective,Kfortin
3,bill,Modified word: bill_3   POS: noun,Kfortin
4,ground,Modified word: ground_5   POS: noun,Kfortin
5,kind,Modified word: kind_7   POS: adjective,Kfortin
6,sole,Modified word: sole_1   POS: noun,Kfortin
7,patient,Modified word: patient_2   POS: adjective,Kfortin
8,tear,Modified word: tear_8   POS: noun,Kfortin
9,toast,Modified word: toast_5   POS: verb,Kfortin
10,train,Modified word: train_4   POS: noun,Kfortin
11,volume,Modified word: volume_3   POS: noun,Kfortin
12,pen,Modified word: pen_1   POS: noun,Kfortin
13,star,Modified word: star_2   POS: noun,Kfortin
14,suit,Modified word: suit_7   POS: noun,Kfortin
15,bat,Modified word: bat_8   POS: noun,Kfortin
16,box,Modified word: box_1   POS: noun,Kfortin
17,firm,Modified word: firm_3   POS: adjective,Kfortin
18,cast,Modified word: cast_3   POS: verb,Kfortin
19,ship,Modified word: ship_1   POS: noun,Kfortin
20,monitor,Modified word: monitor_4   POS: noun,Kfortin
21,yard,Modified word: yard_5   POS: noun,Kfortin
22,jam,Modified word: jam_1   POS: noun,Kfortin
23,miss,Modified word: miss_7   POS: verb,Kfortin
24,fine,Modified word: fine_8   POS: adjective,Kfortin
