trial_id,word,selected_answer,participant_name
0,well,Modified vocable: well_1   POS: adverb,Mitia
1,nail,Modified vocable: nail_2   POS: noun,Mitia
2,flat,Modified vocable: flat_2   POS: adjective,Mitia
3,bill,Modified vocable: bill_3   POS: noun,Mitia
4,ground,Modified vocable: ground_1   POS: noun,Mitia
5,kind,Modified vocable: kind_5   POS: adjective,Mitia
6,sole,Modified vocable: sole_3   POS: noun,Mitia
7,patient,Modified vocable: patient_2   POS: adjective,Mitia
8,tear,Modified vocable: tear_3   POS: noun,Mitia
9,toast,Modified vocable: toast_5   POS: verb,Mitia
10,train,Modified vocable: train_3   POS: noun,Mitia
11,volume,Modified vocable: volume_3   POS: noun,Mitia
12,pen,Modified vocable: pen_1   POS: noun,Mitia
13,star,Modified vocable: star_1   POS: noun,Mitia
14,suit,Modified vocable: suit_3   POS: noun,Mitia
15,bat,Modified vocable: bat_2   POS: noun,Mitia
16,box,Modified vocable: box_1   POS: noun,Mitia
17,firm,Modified vocable: firm_2   POS: adjective,Mitia
18,cast,Modified vocable: cast_7   POS: verb,Mitia
19,ship,Modified vocable: ship_1   POS: noun,Mitia
20,monitor,Modified vocable: monitor_1   POS: noun,Mitia
21,yard,Modified vocable: yard_4   POS: noun,Mitia
22,jam,Modified vocable: jam_7   POS: noun,Mitia
23,miss,Modified vocable: miss_1   POS: verb,Mitia
24,fine,Modified vocable: fine_8   POS: adjective,Mitia
